Title,Description,Keywords,Input.QUESTION,Answer.SPANS2,Answer.options,Approve,Reject
Science Questions Answer with some terms dropped,"The task is to answer science exam questions, with some of the terms dropped, in order to assess the importance of the terms","science exam, question answering",Which of the following activities is harmful for the environment?  (A) recycling waste (B) conserving water (C) producing waste (D) reducing pollutio	(id:A/75/0.8),SPANS2,c,,
Science Questions Answer with some terms dropped,"The task is to answer science exam questions, with some of the terms dropped, in order to assess the importance of the terms","science exam, question answering",Which of the following activities is harmful for the environment?  (A) recycling waste (B) conserving water (C) producing waste (D) reducing pollutio	(id:A/75/0.8),SPANS2,c,,
Science Questions Answer with some terms dropped,"The task is to answer science exam questions, with some of the terms dropped, in order to assess the importance of the terms","science exam, question answering",Which of the following activities is harmful for the environment?  (A) recycling waste (B) conserving water (C) producing waste (D) reducing pollutio	(id:A/75/0.8),SPANS2,c,,
Science Questions Answer with some terms dropped,"The task is to answer science exam questions, with some of the terms dropped, in order to assess the importance of the terms","science exam, question answering",Which of the following activities is harmful for the environment?  (A) recycling waste (B) conserving water (C) producing waste (D) reducing pollutio	(id:A/75/0.8),SPANS2,c,,
Science Questions Answer with some terms dropped,"The task is to answer science exam questions, with some of the terms dropped, in order to assess the importance of the terms","science exam, question answering",Which of the following activities is harmful for the environment?  (A) recycling waste (B) conserving water (C) producing waste (D) reducing pollutio	(id:A/75/0.8),SPANS2,c,,
Science Questions Answer with some terms dropped,"The task is to answer science exam questions, with some of the terms dropped, in order to assess the importance of the terms","science exam, question answering",During which season would a bear hibernate?  (A) summer (B) fall (C) spring (D) winte	(id:A/66/0.8),SPANS2,d,,
Science Questions Answer with some terms dropped,"The task is to answer science exam questions, with some of the terms dropped, in order to assess the importance of the terms","science exam, question answering",During which season would a bear hibernate?  (A) summer (B) fall (C) spring (D) winte	(id:A/66/0.8),SPANS2,d,,
Science Questions Answer with some terms dropped,"The task is to answer science exam questions, with some of the terms dropped, in order to assess the importance of the terms","science exam, question answering",During which season would a bear hibernate?  (A) summer (B) fall (C) spring (D) winte	(id:A/66/0.8),SPANS2,d,,
Science Questions Answer with some terms dropped,"The task is to answer science exam questions, with some of the terms dropped, in order to assess the importance of the terms","science exam, question answering",During which season would a bear hibernate?  (A) summer (B) fall (C) spring (D) winte	(id:A/66/0.8),SPANS2,d,,
Science Questions Answer with some terms dropped,"The task is to answer science exam questions, with some of the terms dropped, in order to assess the importance of the terms","science exam, question answering",During which season would a bear hibernate?  (A) summer (B) fall (C) spring (D) winte	(id:A/66/0.8),SPANS2,d,,
Science Questions Answer with some terms dropped,"The task is to answer science exam questions, with some of the terms dropped, in order to assess the importance of the terms","science exam, question answering",Which adaptation allows a fish to get oxygen underwater?  (A) fins (B) lungs (C) gills (D) hear	(id:A/151/0.8),SPANS2,c,,
Science Questions Answer with some terms dropped,"The task is to answer science exam questions, with some of the terms dropped, in order to assess the importance of the terms","science exam, question answering",Which adaptation allows a fish to get oxygen underwater?  (A) fins (B) lungs (C) gills (D) hear	(id:A/151/0.8),SPANS2,c,,
