Title,Description,Keywords,Event,xAttr_1,xAttr_2,xAttr_3,xAttr_4,xAttr_5,xAttr_6,xAttr_7,xAttr_8,xAttr_9,xAttr_10,xReact_1,xReact_2,xReact_3,xReact_4,xReact_5,xReact_6,xReact_7,xReact_8,xReact_9,xReact_10,oReact_1,oReact_2,oReact_3,oReact_4,oReact_5,oReact_6,oReact_7,oReact_8,oReact_9,oReact_10,Answer.feedback,Answer.how_common,Answer.how_common_opposite,Answer.opposite-event-answer,Answer.submitButtonTimer,Approve,Reject
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets cancer,brave,dauntless,unafraid,not unwell,courageous,not afflicted,ill,masculine,brave,bold,jubilant,ill,merry,brave,jolly,jolly,keep_down,jaunty,gleeful,radiant,not sorrow,not compassion,lighthearted,glad,hilarious,happy,jaunty,cheerful,bold,brave,{},1,1,PersonX has lost weight.,77.086,,
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonX's head high,humble,unsure,timid,humble,lethal,spiteful,burdensome,fearful,unsure,shy,humble,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,{},1,1,PersonX holds PersonX's head low,17.641,,
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX does n't seem to work,gratified,unsure,attentive,alert,discerning,remembering,brilliant,glorious,aware,undetermined,not fulfilled,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,{},2,-1,PersonX does n't seem to play,11.379,,
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets change,wasteful,gullible,spendthrift,needy,uneconomical,poor,extravagant,lacking,wanting,destitute,unsatisfied,miserable,poor_people,grouchy,queasy,fall_short_of,lean,positive,negative,dissatisfy,//,//,//,//,//,//,//,//,//,//,{},1,1,PersonX does not change.,99.816,,
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY breath,humane,human,intrepid,brave,unsurprising,fearless,not bizzare,cheeky,sensible,dauntless,uninformed,unafraid,restless,flustered,bold,courageous,dauntless,brave,tense,//,not fear,//,//,//,//,//,//,//,//,//,{},-2,-2,PersonX holds PersonY fart,25.725,,
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets cut,alert,accomplished,lithe,guarded,discreet,methodical,responsible,circumspect,not devastated,prudent,not like they should see a doctor,not scared that the wound will need stitches.,//,//,//,//,//,//,//,//,not afraid they might catch a contagious disease from the blood.,//,//,//,//,//,//,//,//,//,{},0,0,personx stitches up a cut,32.029,,
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX does not get the job,unafraid,jolly,glad,happy-go-lucky,overjoyed,tranquil,bold,joyful,happy,joyful,overjoyed,perky,jubilant,jaunty,amused,cheerful,lighthearted,jovial,jaunty,hilarious,//,//,//,//,//,//,//,//,//,//,{},1,0,PersonX gets the job.,12.916,,
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY hand,hot-headed,undemonstrative,pointed,unloving,dismal,resentful,callous,uncomfortable,spiteful,cruel,freezing,not happy.,icy,frozen,nippy,not protective of person,appalling,arctic,chilly,frigid,irritable,not comforted by x,vicious,nasty,bleak,icky,awful,sardonic,belligerent,strict,{},1,1,PersonX hugs PersonY .,33.038,,
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX does such a good job,incomprehensive,incomplete,not hard working,undedicated,partial,cursory,superficial,lazy,undetailed,unfinished,irascible,surly,glum,churlish,prickly,querulous,morose,irate,irritable,surly,not impressed,//,//,//,//,//,//,//,//,//,{},2,2,PersonX drops the ball,8.125,,
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets divorced,not difficult.,amiable,not sad.,heavenly,jolly,amusing,agreeable,not abusive,dainty,not downtrodden.,not bittersweet,cool,enforce,easy-going,enforce,not alone,quiet,unworried,calm,composed,freeze,captive,cranky,jocular,ringed,unworried,blame,confine,blue,cantankerous,{},0,0,PersonX gets married,18.214,,
