Title,Description,Keywords,context,doc_id,Answer.feedback,Answer.noqu,Answer.q1_types,Answer.q1correct,Answer.q1correct1,Answer.q1incorrect1,Answer.q1incorrect2,Answer.q1incorrect3,Answer.q2_types,Answer.q2correct,Answer.q2correct1,Answer.q2incorrect1,Answer.q2incorrect2,Answer.q2incorrect3,Answer.question1,Answer.question2
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","We 're moving We 're moving We 're moving We 're moving We 're moving We 're moving We 're moving We 're moving We 're moving We 're moving We 're moving We 're moving We 're moving ! ! There is so much more to this story and it 's really to much to put all in one post , so I 'm going to spread it out over several posts starting next week . So stay tuned . It 's been one hell of a ride !",Blog_870035,{},,q1_type1_,They are moving.,They are relocating.,They are going for a bike ride.,They are going for a motorcycle ride.,They are selling their blog.,no_answer,{},{},{},{},{},What is causing the narrator so much excitement?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I do n't know what was wrong with me but I did n't even mention the Vintage Socks being received . My mom 's birthday was at the end of July and she had planned to spend the week up in southern Michigan with some friends , as she normally does each summer . I decided to drive up and surprise her , and her friends , with a visit and presented her with the socks . Well , my plan worked like a charm .",Blog_120248,{},,q1_type2,I ordered the vintage socks and did not tell my mom I would visit her.,{},I ordered the vintage socks and told my mom I would visit her.,I visited my mom and then ordered the vintage socks.,I ordered the vintage socks and presented her with the socks.,no_answer,{},{},{},{},{},What may have happened before I went to visit my mom.,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I got my learner 's permit a few days ago , ( along with a new cell phone , but more on that later ) and so today my dad took me out to drive in the local high school parking lot . I got ta admit , it was n't too bad . I did n't hit anything , ( hurray ! ) or run over any small children , which is always a bonus .",Blog_937247,{},,q1_type1_,They're still learning and didn't hit anything.,They didn't make any rookie mistakes.,The children were ok after the accident.,They were relieved the children weren't hurt in the wreck.,They are glad there was no major car damage.,no_answer,{},{},{},{},{},Why was the narrator relieved after leaving the car?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I would like the latter ... since I still have n't heard anything back from the two positions I applied for nearly two weeks ago . Some monies are better than no monies , even if it would be nice not to have to go into work for a week or two . I think Robert would prefer that , too , since I think he 'll be boned if he has to bring in a new assistant in the thick of this maelstrom of applications . I have n't been sleeping well .",Blog_347300,{},,q1_type2,I may be waiting for a longer than necessary amount of time.,{},I will only get an interview but not selected.,I will get notices of thanks for applying.,I will be unemployed for a longer period of time.,no_answer,{},{},{},{},{},What may happen after waiting to hear back from a job application?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Simple , but yummy . I 'm still full and it 's the next day at lunchtime . I might just have popcorn for lunch because I 'm not that hungry . I hope I can leave early again and get home by 6 .",Blog_1106415,{},,q1_type3,They have a job.,They eat lunch at their job everyday.,They get off early often.,They are work late.,They work everyday of the week.,q2_type1_,They had gotten to leave early before.,They want to go home and relax.,They want to eat food at home.,They are tired from eating.,They want to eat a better meal.,What may be a fact about this person?,What may be the reason for them wanting to leave early?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I 've been doing a bit of catch up lately and been posting quite a bit , hopefully no - ones missed anything . Anyway onto the post ... We drove to San Antonio on Sunday . Again it was a nice long drive where we got to see more of the Texan country side and spend a few hours just chatting about whatever was coming to mind . We have some really funny conversations this way and even though we both have a totally different sense of humor , it just clicks . We arrived at Sea World around 11 am .",Blog_959275,{},,q1_type2,To see the coutryside,To visit Sea World,To visit freinds,To visit family,To visit a cousin,no_answer,{},{},{},{},{},Why did they drive to San Antonio?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Most people in my city do n't have electricity right now . It 's absolutely crazy outside -- most of the stoplights are n't working , there 's only one grocery store open within a half hour drive , every gas station is out of gas , and there are a bunch of trees that fell over . I really did n't expect the hurricane to have such an effect on Cincinnati . In other news , there 's this guy , Earl , who just wo n't leave me alone . I met him through a mutual friend , when said mutual friend and I were hanging out downtown with a few other people .",Blog_1394496,{},,q1_type2,There may be a lot of traffic jams.,A Lineman may get a lot of work.,It may be easy to keep your car's fuel tank full.,People may quickly get food to eat.,Less cars may be on the road than usual.,no_answer,{},{},{},{},{},What may happen in Cincinnati after the hurricane?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Got ta love Jack McFarland . This may be a short one , I only have until my friend Jamie wakes up . Last night I watched "" Definitely , Maybe "" and it was adorable . There was as much Abigail Breslin as you were led to expect in the previews , but that was okay .",Blog_704555,{},,q1_type3,The movie.,"Definitely, Maybe.",Jamie.,Her friend Abigail.,Her friend Jamie.,no_answer,{},{},{},{},{},What is bringing the narrator joy in this narrative?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Today I had again a very weird dream ... I was one ( female ) paladin / mage in a group of five , who fought evil and so - in the real world . We were somehow strange , cause we were born from some kind of ' fire elemental of justice ' and when one of us was "" killed "" , we become one with the elemental again .",Blog_814576,{},,q1_type2,She woke up,She thought about the dream,She was in a different world,She was killed,She was born again,q2_type5,She had powers,"She was not human, born from fire elemental of justice",A normal person,A person who fought crime,A strange person,What happened after the dream?,What kind of person was she in her dream?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Lately , I notice myself strolling , lingering , and talking to people in line at the grocery store or even people I pass while running . Small talk is easy to do . But , really , when did this happen ?",Blog_438847,{},,q1_type4,I would feel confused.,{},I would make people feel confused.,I would start running more.,I would feel like going to the grocery store often.,no_answer,{},{},{},{},{},What might happen if you start talking to people more?,{}
