Title,Description,Keywords,Input.img_id,Input.question,Input.answer,Input.rationale,Input.img_fn,Input.metadata_fn,Input.model_name,Input.NOUN1,Input.NOUN2,Input.NOUN3,Input.NOUN4,Input.NOUN5,Input.NOUN6,Input.NOUN7,Input.NOUN8,Input.NOUN9,Input.NOUNPHRASE1,Input.NOUNPHRASE2,Input.NOUNPHRASE3,Input.NOUNPHRASE4,Input.NOUNPHRASE5,Input.VERB1,Input.VERB2,Input.VERB3,Input.VERB4,Input.VERB5,Input.VERB6,Answer.c0,Answer.c1,Answer.c2,Answer.c3,Answer.c4,Answer.c5,Answer.c6,Answer.commentbox,Answer.q1,Answer.q2,Answer.q21,Answer.q22,Answer.q23,Answer.q24,Answer.q25,Answer.q3,Approve,Reject
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",405051459,A woman is in a bikini .,contradiction,A woman can not be in a bikini and a dress at the same time.,405051459.jpg,-,e_snli_ve_text_situation_q_a_to_r,time,bikini,woman,dress,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",405051459,A woman is in a bikini .,contradiction,A woman can not be in a bikini and a dress at the same time.,405051459.jpg,-,e_snli_ve_text_situation_q_a_to_r,time,bikini,woman,dress,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,w_no,dress,nota-np,nota-verb,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",405051459,A woman is in a bikini .,contradiction,A woman can not be in a bikini and a dress at the same time.,405051459.jpg,-,e_snli_ve_text_situation_q_a_to_r,time,bikini,woman,dress,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,time|bikini,same time,nota-verb,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",2844654521,A lady is driving the car,contradiction,A lady can not be walking and driving simultaneously.,2844654521.jpg,-,e_snli_ve_text_situation_q_a_to_r,lady,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",2844654521,A lady is driving the car,contradiction,A lady can not be walking and driving simultaneously.,2844654521.jpg,-,e_snli_ve_text_situation_q_a_to_r,lady,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w_yes,w_no,yes,w_no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",2844654521,A lady is driving the car,contradiction,A lady can not be walking and driving simultaneously.,2844654521.jpg,-,e_snli_ve_text_situation_q_a_to_r,lady,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",158857536,There is a cowboy only wearing a hat talking to a woman .,contradiction,A cowboy can not be talking to a woman if he is holding a microphone.,158857536.jpg,-,e_snli_ve_text_objects_q_a_to_r,microphone,woman,cowboy,-,-,-,-,-,-,-,-,-,-,-,is holding microphone,-,-,-,-,-,no,no,yes,yes,microphone,nota-np,is holding microphone|nota-verb,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",158857536,There is a cowboy only wearing a hat talking to a woman .,contradiction,A cowboy can not be talking to a woman if he is holding a microphone.,158857536.jpg,-,e_snli_ve_text_objects_q_a_to_r,microphone,woman,cowboy,-,-,-,-,-,-,-,-,-,-,-,is holding microphone,-,-,-,-,-,w_no,w_no,yes,w_no,microphone,nota-np,nota-verb,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",158857536,There is a cowboy only wearing a hat talking to a woman .,contradiction,A cowboy can not be talking to a woman if he is holding a microphone.,158857536.jpg,-,e_snli_ve_text_objects_q_a_to_r,microphone,woman,cowboy,-,-,-,-,-,-,-,-,-,-,-,is holding microphone,-,-,-,-,-,no,no,yes,yes,microphone,nota-np,is holding microphone,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",129602216,A man sitting at a table has just eaten his food and drink .,contradiction,A man can not be eating and drinking at the same time.,129602216.jpg,-,e_snli_ve_text_objects_q_a_to_r,man,time,-,-,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-,w_no,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",129602216,A man sitting at a table has just eaten his food and drink .,contradiction,A man can not be eating and drinking at the same time.,129602216.jpg,-,e_snli_ve_text_objects_q_a_to_r,man,time,-,-,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-,no,no,no,w_no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",129602216,A man sitting at a table has just eaten his food and drink .,contradiction,A man can not be eating and drinking at the same time.,129602216.jpg,-,e_snli_ve_text_objects_q_a_to_r,man,time,-,-,-,-,-,-,-,same time,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,w_no,time,same time,nota-verb,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",3971415758,Two women are dancing with a band .,entailment,Two women are dancing with a band is a rephrasing of two women dancing with a band.,3971415758.jpg,-,e_snli_ve_text_situation_q_a_to_r,band,rephrasing,women,-,-,-,-,-,-,two women,-,-,-,-,-,-,-,-,-,-,no,no,yes,yes,rephrasing,nota-np,nota-verb,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",3971415758,Two women are dancing with a band .,entailment,Two women are dancing with a band is a rephrasing of two women dancing with a band.,3971415758.jpg,-,e_snli_ve_text_situation_q_a_to_r,band,rephrasing,women,-,-,-,-,-,-,two women,-,-,-,-,-,-,-,-,-,-,no,no,no,no,rephrasing,nota-np,nota-verb,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",3971415758,Two women are dancing with a band .,entailment,Two women are dancing with a band is a rephrasing of two women dancing with a band.,3971415758.jpg,-,e_snli_ve_text_situation_q_a_to_r,band,rephrasing,women,-,-,-,-,-,-,two women,-,-,-,-,-,-,-,-,-,-,no,no,no,yes,rephrasing,nota-np,nota-verb,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the label given to a statement, in context of an image","For a given image, a statement-label pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",1333788342,A young boy sits inside a plays a board game .,contradiction,A boy can not be sitting inside a plays board game and playing a game on a swing at the same time.,1333788342.jpg,-,e_snli_ve_text_objects_q_a_to_r,time,swing,game,boy,-,-,-,-,-,same time,plays board game,-,-,-,playing game,-,-,-,-,-,w_yes,no,no,yes,time|swing|game,same time|plays board game,playing game,{},yes,yes,w_no,w_no,no,w_no,w_yes,yes,,
