Title,Description,Keywords,id,question,answer_choices,gold_label,source_sample_1,source_sample_2,source_sample_3,source_sample_4,source_sample_5,explanation_1,explanation_2,explanation_3,explanation_4,explanation_5,nll_1,nll_2,nll_3,nll_4,nll_5,Answer.acceptable,Answer.ee,Answer.feedback,Approve,Reject
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",1746bdc407345e7757c1471cfb3a8294,"The vet was concerned about all of the blood he saw, where was the blood coming from?","battlefield, animals, soccer game, hospital, or person",animals,1,greedy,2,3,0,"Several of the other options specified humans, but blood can only come from animals.","Blood is often seen on battlefields, and it's also seen on animals that are injured.","Blood is most often shed when animals are injured, an event that is not commonly seen by vets outside of a veterinarian's office.","If a vet were present at a battle, then blood would be coming from battlefield, and otherwise, there aren't that many places that a vet might expect to see excessive amounts of blood.","A vet may not know whether an injury affects blood for animals or people, so it is easier for them to assume that it affects blood in animals.",2.93830703534082,1.153987300755,1.87358046518518,1.82101223557846,2.71077488,3,121.388,{},,
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",e79e5fb6787d80dab6dacc70ee367453,"If you see a fox in a southern delta state, where are you?","south carolina, louisiana, tennessee, hen house, or wildlife",louisiana,greedy,3,1,0,2,"The fox is a wild animal, and so, it is likely to be found in a wildlife refuge or park.",The southern delta is a region in southeastern louisiana to southern tennessee.,"Many animals are raised on farms. Farms may take up a large tract of land, some in the small state of louisianna, around hillshire farms.","Because the states bordering the south delta are mainly southern to mid-southern states, north of those is midwestern to northern states. Thus, the southern delta would be in southern states.","Because foxes inhabit regions of the Us, having a fox in Louisina could just be a Fox out of place.",1.09496256625,1.70640885479444,2.86753726987879,2.12432213846154,2.49360277292,2|4,16.993,{},,
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",e6d99b4b76f74961a400ad0001b13b73,Which entrance would you use if you do not want to use the back entrance?,"side, anterior, current, front, or main",main,3,greedy,1,0,2,Someone entering the front entrance of the building intends to use the front entrance.,"The main entrance is the most common entrance, and is the entrance that is most likely to be used.","There should be no entrance that is blocked with a back entrance. Thus, one would see both main entrance, and either side or current entrance, depending on whether one considers the building to be facing one way, or another.","The main entrance is normally used to enter a building. If one was not to use the main entrance, there must be a reason why one does not want to use it.","Alternatives for 'use the back entrance' are entrances to the side, front, or main, which are all accessible through the main entrance.",1.70698480375,0.937189008454546,2.3910853998913,1.11747975975833,1.62136358723333,2,142.549,{},,
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",254af6940f2927eccae9dd6d29f09f3e,"I don't have internet connection, who do I call?","computer network, 911, company, electrical circuit, or airport",company,0,greedy,2,3,1,one might experience internet problems and call technical support rather than a company that isn't related to the internet.,"If you don't have internet connection, you might want to call your internet service provider to fix the problem.","Many companies use long distance lines to provide internet service, and often have times when the connection is temporarily down. Thus, you can call them for help.",The company provides the networking services.,"Calling a company would be faster than calling 911 or contacting a network administrator because companies have IT specialists who can troubleshoot problems, thus resulting in patrons of the company being able to call again more quickly.",2.38631260394091,0.684401192260869,2.12863494359375,2.49680235875,2.36655421425952,2|4,23.458,{},,
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",3bb62f1b2558480f3ccbb5edf1629cf0,"The cloth's are not yet placed where they belong, where should we put them?","bedroom, fabric store, kitchen, on the space heater, or linen closet",linen closet,1,3,0,greedy,2,"Linen closets are usually connected with a bedroom, as they are used for storing bedding, sheets, and clothes.","Given that it's cold discomforting to the people what are next (to the space heater), it's clear that too much heat may be there.","Linen closet is used to store bed sheets, and is where they belong.","Linen closets are often used to store bed sheets, blankets, and other cloths.","Clothes might not be sorted yet, so it might make sense to put them in the linen closet, as they should be somewhere safe, i.e., inside a building, protected from weather and thieves.",1.56632044119231,3.06010323755102,1.45864748705882,0.7095114365,1.74895668896512,3|4|5,63.018,{},,
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",ddd867663ebf4ed94d6844b6d1699c95,"The archaeologist was seeing artifacts that he knew were fake, how did he feel?","painful memories, awe inspiring, thinking, pleasure, or angry",angry,0,2,3,greedy,1,"An archaeologist spent years learning about Egyptian antiquities in mosques, church archives, and museums, and would therefore get upset by seeing fake antique objects.",An archaeologist might get angry when he knows that someone has been trying to fool him with lies.,"A professional working in the field of archaeology should be able to distinguish real artifacts from fake ones, and so might feel angry if he discovers that someone has tried to trick him.","The archaeologist was angry because he knew the artifacts were fake, and he was probably thinking about how he could prove it.","Artifacts are objects that were created during the life of a person or community; however, someone had to create copies of these artifacts at some point in time. If this person was an archaeologist, or someone interested in ancient civilizations, they might feel",3.02720312214194,1.52524143560476,1.3751586306254,0.9674684365,1.86426465292245,3,36.904,{},,
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",12dcfe55c19feabcbc87dbc4f6d11f0a,"The police man was waving flares, what did he do with the impatient car?","believe guilty, book robber, direct traffic, wave on, or he had a word with the driver.",wave on,greedy,2,3,0,1,"The impatient driver was driving too fast, and the police man was trying to get him to slow down.","The police man looked the other way, he did not fine, or book, the driver. Nor did he believe the driver to be guilty (of something).","A driver with absolutely no regard for the rules of the road should not be allowed to drive. The police officer was willing to let him go, but wanted to tell him how dangerous his driving was.",The police man was waving at the driver as a signal allow them to drive through the intersection.,"With impatient drivers, a police officer might have to stop them from impeding traffic flow by waving them on with a flare.",0.63184846425,1.78948153887879,1.612918937,1.73026385333333,1.54030902730769,4|5,139.386,{},,
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",09255212ef07e95568f35baa2f8dd715,"A person needs to make a withdrawal, what is he looking for?","let himself go, bank money, cross street, rob a bank, or buy clothes",bank money,2,0,greedy,1,3,"A bank is usually a place to store money safely, and a person may need to make a withdrawal from a bank when they need to go somewhere, therefore withdraw money first.","A person who needs to make a withdrawal at a bank might be looking to take out money rather than allow himself to go; buy new clothes, or cross the street.",A person who needs to make a withdrawal is looking for a bank.,"A person who needs to make a withdrawal is likely to be going to a bank. Banks lend money to people, with the interest returned to the bank after ""withdrawals"". This requires that banks have money, which people would often prefer to hold","The bank is a business which allows customers to make payments, withdraw some amount of money, or save money, for a fee. So if a person is looking for the bank, it's probably to make a withdrawal.",1.674549724,1.56246754634286,0.6882276232,1.89182566448163,1.52318512755556,1|3|4|5,108.724,{},,
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",e5dc21bf19b2733d90b849185368bdea,Where are all planets located?,"milky way, outer space, universe, sky, or orbit",universe,2,0,1,3,greedy,"The universe exists, and all planets are within it. Jupiter, for instance, is a planet located in the universe.","The endless stream of gas, dust, space rocks and planets in the universe that makes up the universe.",The universe is home to thousands of other planets.,"Other than Earth, all planets are in the universe. And, the universe is the totality of everything; the origin, extent, and fate of everything.",The universe is the entirety of space and everything in it. All planets are located in the universe.,1.43428849168,2.387411274,1.73842672890909,1.65246707965625,0.692025542285714,1|5,57.88,{},,
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",2de5acb7ac6ba42b4ae4fca8c8d47d98,How can you find a jellyfish without coming near it?,"see, mediterranean sea, hand, store, or zoo",see,2,greedy,1,0,3,Jelly fish sometimes tend to be near the surface or in the center of the water mass of bodies of water; seeing jelly fish allows the opportunity to avoid them.,"Jellyfish are often found in the mediterranean sea, and can be seen from a distance.","The color of a jelly fish is transparent unless illuminated by light, which strongly correlates with its absense even if is nearby, which is why humans can't see it.","If the jellyfish is in the Mediteranean Sea, you probably want to be able to ""see"" it, e.g., to avoid swimming into it or putting your face in the water.","Jellyfish cannot swim very fast, and, as jellyfish are typically translucent, one could see a jellyfish without swimming towards it.",2.20760116766667,0.727601001,2.77902780441667,1.36122539553488,1.52654494537931,1,10.843,{},,
