Title,Description,Keywords,goal1,goal2,goal3,Answer.feedback,Answer.goal1_distractor_1,Answer.goal1_distractor_2,Answer.goal1_distractor_3,Answer.goal1_distractor_4,Answer.goal1_impossible,Answer.goal1_impossible_reason,Answer.goal2_distractor_1,Answer.goal2_distractor_2,Answer.goal2_distractor_3,Answer.goal2_distractor_4,Answer.goal2_impossible,Answer.goal2_impossible_reason,Answer.goal3_distractor_1,Answer.goal3_distractor_2,Answer.goal3_distractor_3,Answer.goal3_distractor_4,Answer.goal3_impossible,Answer.goal3_impossible_reason
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",promote the world's literature,carry out PersonX's purpose,await PersonX's turn,{},PersonX is dyslexic,PersonX hasn't read even one percent of what the world has to offer,{},{},,{},PersonX is stuck in the back of a police car,PersonX is too hungry to think about destiny,{},{},,{},PersonX needs to leave the party,PersonX got called in to work,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",promote the world's literature,carry out PersonX's purpose,await PersonX's turn,{},Person X has too much to read,Person X is lazy.,{},{},,{},{},{},{},{},on,It doesn't make sense.,{},{},{},{},on,It doesn't make sense.
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",promote the world's literature,carry out PersonX's purpose,await PersonX's turn,{},They can't read.,They lost their eyesight.,{},{},,{},They don't have the time to carry it out.,They are terminally ill.,{},{},,{},They are in too big of a hurry.,They lost their patience.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",publish PersonY's work,browse PersonY's collection,take advantage of the opportunities,{},PersonX doesn't have the licensing rights,PersonY hasn't given their approval,{},{},,{},PersonX isn't near the collection,the collection is packed away in storage,{},{},,{},PersonX is traveling while it is happening,PersonX doesn't have the right skills,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",publish PersonY's work,browse PersonY's collection,take advantage of the opportunities,{},PersonY needs to correct some mistakes.,PersonX's supervisor doesn't like PersonY's work.,PersonY needs to change the ending.,{},,{},PersonX is having problems with ISP,PersonY's website is down.,{},{},,{},PersonX lives in a different state.,PersonX found out about it too late.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",publish PersonY's work,browse PersonY's collection,take advantage of the opportunities,{},PersonY will not let PersonX see his work.,PersonX got fired from his publishing job.,{},{},,{},PersonY's collection was lost a long time ago.,PersonY does not like PersonX and will not show it to him.,{},{},,{},PersonX is on bedrest for the next 6 months.,PersonX has to stay home and take care of the baby.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",receive PersonX's education,deserve PersonY's attention,read PersonY thoughts,{},PersonX can't seem to understand the classes.,PersonX can't pay for the tuition.,{},{},,{},PersonX has no idea how to make friends.,PersonY doesn't want anything to do with PersonX.,{},{},,{},PersonX realized that no one can read minds.,PersonX knows that it will be their own thoughts they read.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",receive PersonX's education,deserve PersonY's attention,read PersonY thoughts,{},PersonX did not get accepted into college.,PersonX is too ill to attend school.,{},{},,{},PersonY is occupied with an emergency.,PersonX is mute.,{},{},,{},PersonX does not have a super power.,PersonX is not a medium.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",receive PersonX's education,deserve PersonY's attention,read PersonY thoughts,{},The school in the area closed down.,PersonX cannot get a loan to pay for school.,{},{},,{},PersonY has a low opinion of PersonX.,PersonY is a celebrity and does not know PersonX exists.,{},{},,{},PersonX does not have psychic powers.,PersonY is wearing a tin foil hat.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",marry PersonY's sister,earn PersonY living,bring PersonY news,{},It would be rude.,She does not like PersonX.,{},{},,{},PersonX did not go to college.,PersonX is not smart enough.,{},{},,{},PersonX has a broken leg.,PersonX is on house arrest.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",marry PersonY's sister,earn PersonY living,bring PersonY news,{},PersonY's sister is already married.,"PersonX is a lesbian, but PersonY's sister is straight and will not marry a woman.","PersonY's sister is only twelve years old, and it is illegal for PersonX to marry her.",PersonY's sister is a cloistered nun.,,{},{},{},{},{},on,"The sentence does not make sense. PersonX cannot ""earn PersonY living.""",PersonY went mountain climbing and no one can communicate with him.,"PersonY is deaf, Person X does not know sign language, and no interpreter is available.",PersonX is in prison and is not allowed to communicate with PersonY or anyone else on the outside.,PersonX's news pertains to an ongoing lawsuit and PersonX's lawyer said he cannot speak to PersonY about this piece of news.,,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",marry PersonY's sister,earn PersonY living,bring PersonY news,{},PERSON Y SISTER IS ALREADY MARRIED,PERSON X DOES NOT HAVE A RING,{},{},,{},PERSON X DOES NOT THE SKILLS,PERSON X IS JOBLESS,{},{},,{},PERSON Y HAS NO NEWS,PERSON Y DOES NOT HAVE A PHONE,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",get near PersonY,increase PersonY's power,resume PersonX's work,{},PersonY is on a boat and PersonX is on land,PersonY has a restraining order against PersonX,{},{},,{},PersonX can't show favoritism,PersonX doesn't have the authority,{},{},,{},PersonX is addicted to Candy Crush,PersonX is stuck in a board meeting,{},{},,{}
