Title,Description,Keywords,Input.index,Input.url_1,Input.choice0_1,Input.choice1_1,Input.choice2_1,Input.choice3_1,Input.choice4_1,Input.url_2,Input.choice0_2,Input.choice1_2,Input.choice2_2,Input.choice3_2,Input.choice4_2,Input.url_3,Input.choice0_3,Input.choice1_3,Input.choice2_3,Input.choice3_3,Input.choice4_3,Answer.ee,Answer.feedback,Answer.multiple_choice_1,Answer.multiple_choice_2,Answer.multiple_choice_3,Approve,Reject
Choose the most likely event descriptions.,"Given an image, choose the most likely descriptions for the event","image, deduction, object indications",2,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000000001.jpg,should you pay right away if your car gets towed? A: <class>0</class> <text>you should</text>,Is getting your car towed when it's broken down an okay behavior? A: <class>0</class> <text>you should</text>,call to have a vehicle towed away if the vehicle is parked illegally and obstructing a residence A: <class>0</class> <text>it's good</text>,"When one day I saw a cab stop in my building's driveway, am I allowed to be so nosy? A: <class>-1</class> <text>You shouldn't</text>",do you need to tow your neighbor's car if they are illegally parked A: <class>-1</class> <text>you should</text>,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000000014.jpg,is jaywalking good from a moral perspective? A: <class>-1</class> <text>it's wrong</text>,"in the context that Dave is waiting behind Phil, who is mentally disabled for his turn at the street parking pay station and Phil is taking a long time, is Dave telling Phil to hurry up because he doesn't have all day and if Phil can't figure it out to move aside acceptable? A: <class>-1</class> <text>It is not good</text>",is jaywalking acceptable from a moral perspective? A: <class>-1</class> <text>it's illegal</text>,Is watching out for pedestrians when you are riding a bike ethical? A: <class>1</class> <text>You should</text>,Is watching out for pedestrians when driving acceptable from an ethical perspective? A: <class>0</class> <text>you should always</text>,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000000016.jpg,Is trying your best to hit a home run when you're up to bat in a baseball game good? A: <class>1</class> <text>you should</text>,"If myles wanted to impress his parents in his baseball game, feeling intense pressure from your parents to perform well A: <class>-1</class> <text>It is bad</text>","take a long time to achieve a goal, given tom eventually made his high school baseball team A: <class>0</class> <text>it's sometimes</text>","Should you give your best effort on tasks, given he played very well on his baseball team? A: <class>0</class> <text>It is good</text>",Is Nick swinging the bat hard and hitting an over the fence home run morally acceptable? A: <class>1</class> <text>it is okay</text>,41.524,{},3,0|2,2|4,,
Choose the most likely event descriptions.,"Given an image, choose the most likely descriptions for the event","image, deduction, object indications",602,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000008447.jpg,"Is keeping your house well maintained correct, if kate frowned as she spent her afternoon painting the living room? A: <class>0</class> <text>It's good</text>",Is redecorating a living room okay morally? A: <class>0</class> <text>It is common</text>,"given danielle had just redone her living room, do I have to redecorate a living room? A: <class>0</class> <text>It is common</text>",Am I allowed to have a say in a shared living space? A: <class>1</class> <text>everyone should</text>,"In the context of they started working to clean out the house, much to sharon's relief, enjoying a clean environment A: <class>0</class> <text>it's normal</text>",https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000008451.jpg,Do you need to get out and ride your bike? A: <class>0</class> <text>it is good</text>,Feel the temperature of the air while riding a bike A: <class>0</class> <text>It is normal</text>,Is feeling the temperature of the air while riding a bike moral? A: <class>0</class> <text>It is normal</text>,is riding bikes to protect the environment morally okay? A: <class>1</class> <text>it's encouraged</text>,Is riding your bike every day so you get healthy acceptable? A: <class>0</class> <text>it's good</text>,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000008465.jpg,"expecting people to practice good manners when eating dinner at your house, when old fashioned table manners should still be in style today A: <class>0</class> <text>you should</text>","is getting family together as a group acceptable from a moral perspective, when he gathered his family for a card trick? A: <class>1</class> <text>is important</text>","Getting family together as a group, given he gathered his family for a card trick A: <class>1</class> <text>is important</text>","Should you expect people to practice good manners when eating dinner at your house, in the context of old fashioned table manners should still be in style today? A: <class>0</class> <text>you should</text>","when Martha, Jane, and their friends are discussing where to go for their next trip at Martha’s house, and Jane's boyfriend, Joe, dominates the discussion without letting others participate, Martha asks everyone to take turns to speak for five minutes at most each time, so that everyone's ideas can be taken into account. A: <class>1</class> <text>it's okay</text>",61.663,{},,,,,
Choose the most likely event descriptions.,"Given an image, choose the most likely descriptions for the event","image, deduction, object indications",1802,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000025880.jpg,discarded possessions that are no longer functional A: <class>0</class> <text>It's good</text>,"in the context of when he gets home he puts the baseball on his mantle, living in the past A: <class>-1</class> <text>it's not okay</text>",Go inside someone's home without telling them first A: <class>-1</class> <text>It's abnormal</text>,Is redecorating a living room okay morally? A: <class>0</class> <text>It is common</text>,Is decorating your home with pictures okay morally? A: <class>0</class> <text>It's okay</text>,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000025883.jpg,"In the context of kitchen is a bloody mess after husband goes hunting, must I make a mess as long as it gets cleaned up? A: <class>0</class> <text>It is okay to</text>","is purchasing appliances to set up a new home a bad behavior, given joe needed a new washing machine for his new house? A: <class>0</class> <text>It's normal</text>","Given telling my parents to stop renovating the kitchen at 2am, is wanting to hurry up and get a big job finished moral? A: <class>0</class> <text>it's understandable</text>",Having lime green as a wall color. A: <class>-1</class> <text>It's ugly</text>,is having lime green as a wall color good from an ethical perspective? A: <class>-1</class> <text>It's ugly</text>,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000025894.jpg,keep the street around fire hydrants clear in case of an emergency A: <class>0</class> <text>It's important</text>,Do I need to keep the street around fire hydrants clear in case of an emergency? A: <class>0</class> <text>It's important</text>,"keep the street around fire hydrants clear in case of an emergency, given calling out a guy for parking in front of a fire hydrant A: <class>0</class> <text>It's important</text>",Do you need to make sure you're safe when you spend lots of time outside in the winter? A: <class>0</class> <text>you should</text>,"If calling out a guy for parking in front of a fire hydrant, am I allowed to keep the street around fire hydrants clear in case of an emergency? A: <class>0</class> <text>It's important</text>",75.809,{},3|4,3|4,0|1,,
Choose the most likely event descriptions.,"Given an image, choose the most likely descriptions for the event","image, deduction, object indications",1202,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000016924.jpg,"given barry was glad with his decision to dress as a zebra, is dressing up sometimes bad? A: <class>1</class> <text>It's fun</text>",Is I went on a safari to take home memories acceptable from a moral perspective? A: <class>1</class> <text>it is okay</text>,"Can I have multiple options, given for his honeymoon, tim convinces his wife to go on safari? A: <class>0</class> <text>you should</text>",Is I went on a safari in Africa to hunt elephants acceptable from an ethical perspective? A: <class>-1</class> <text>It is not good</text>,"being happy with your decisions, if barry was glad with his decision to dress as a zebra A: <class>0</class> <text>It's good</text>",https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000016933.jpg,"In the context of when they arrived, they swam happily for a few hours, swimming when arriving at a place where you can A: <class>0</class> <text>it's normal</text>","look out for yourself, given as he swam ashore he decided at least he wasn't on a boat anymore A: <class>0</class> <text>it is good</text>","Given she thought she saw a fin above the water, being aware of your surroundings at all times. A: <class>0</class> <text>It is expected</text>","In the context of suddenly he saw a fin coming toward him, swimming in the ocean. A: <class>0</class> <text>it's okay</text>","Is swimming in the ocean a bad behavior, when suddenly he saw a fin coming toward him? A: <class>0</class> <text>it's okay</text>",https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000016936.jpg,Is building your own skateboarding ramp a correct behavior? A: <class>1</class> <text>it's good</text>,Is skateboarding when you're a kid good morally? A: <class>0</class> <text>it's good</text>,Is I did complicated skateboard tricks on the half-pipe in the skate park a good behavior? A: <class>1</class> <text>It's acceptable</text>,"is skateboarding with your buddies a moral behavior, in the context of gunner was skateboarding with his friends? A: <class>0</class> <text>It's fun</text>",Is skateboarding with your buddies acceptable morally? A: <class>0</class> <text>It's fun</text>,33.14,{},0,1,0,,
Choose the most likely event descriptions.,"Given an image, choose the most likely descriptions for the event","image, deduction, object indications",605,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000008466.jpg,Is taking a vacation and relaxing during your retirement an okay behavior? A: <class>1</class> <text>it's good</text>,Is protecting yourself from harmful UV rays from the sun a wrong behavior? A: <class>1</class> <text>It is important</text>,Is sunbathing you could get skin cancer a good behavior? A: <class>-1</class> <text>you shouldn't</text>,Is relaxing on the beach morally good? A: <class>1</class> <text>it's good</text>,"is relaxing on vacation bad, given vacation condo busybodies make owners long for home? A: <class>0</class> <text>It's expected</text>",https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000008500.jpg,is I lead my uncle's heard of sheep into the sheep's pin an ok behavior? A: <class>1</class> <text>It is ethical</text>,Farmers having a special relationship with their animals A: <class>0</class> <text>It's understood</text>,is farmers having a special relationship with their animals wrong? A: <class>0</class> <text>It's understood</text>,"given he decided to feed his sheep like that more often, is taking care of your animals good A: <class>1</class> <text>It's good</text>","Is sometimes doing things and being ashamed of them later wrong, in the context of having an issue with my friend making homeless people act as sheep dogs? A: <class>0</class> <text>It's okay</text>",https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000008501.jpg,is Tom realizing if he rode across a farmer's property he could cut his ride short by 5 minutes morally good? A: <class>-1</class> <text>It's immoral</text>,"In the context of jake was riding horses with his dad, should parents find activities they can do with their children? A: <class>1</class> <text>they should</text>",Is leaving your stable and enjoyable job for a high-paying one a correct behavior? A: <class>-1</class> <text>it's wrong</text>,"is keeping animals captive a wrong behavior, when so david named the new mule derby? A: <class>0</class> <text>It's not okay</text>","When jake was riding horses with his dad, is subjecting animals to being ridden bad? A: <class>-1</class> <text>It is bad</text>",7.771,{},1|3,1|3,1|3,,
Choose the most likely event descriptions.,"Given an image, choose the most likely descriptions for the event","image, deduction, object indications",1805,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000025927.jpg,"when eugene looked in somewhat stunned gratitude at the back of his truck, is recieving suprise gifts acceptable? A: <class>0</class> <text>It is good</text>","Given she heard a noise coming from her truck, must you do regular maintenance on your vehicle? A: <class>0</class> <text>you should</text>","Given i'm thrilled that denver just lifted their 30 year long ban on pet cassowaries, is wanting to adopt a pet wrong? A: <class>1</class> <text>it's good</text>","Must I stay alert in dangerous situations, when as he crossed the road, he didn't hear the truck come? A: <class>0</class> <text>You're expected to</text>","Are you allowed to say thank you when someone gives you something you want, given eugene looked in somewhat stunned gratitude at the back of his truck? A: <class>1</class> <text>you should</text>",https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000025928.jpg,"When motorcyclists are vulnerable in ways that drivers are not, practicing proper road safety A: <class>0</class> <text>you should</text>",follow safety rules in the mountains A: <class>0</class> <text>It's important</text>,is always following the rules of the road when you're driving your motorcycle okay from an ethical perspective A: <class>0</class> <text>you should</text>,"drivers obeying the rules of the road, in the context of a motorcycle police officer pulled him over and demanded his license A: <class>0</class> <text>it is expected</text>",do you need to be careful when you are driving a motorcycle? A: <class>0</class> <text>You should</text>,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000025963.jpg,"Is As a restaurant owner, I taught my employees how to open wine bottles morally acceptable? A: <class>1</class> <text>it's okay</text>",Serving new things at your restaurant to attract more customers A: <class>1</class> <text>It's good</text>,"make your own wine, in the context of he got to work right away fermenting his own wine A: <class>1</class> <text>it's impressive</text>","As a restaurant owner, I taught my employees how to open wine bottles A: <class>1</class> <text>it is acceptable</text>",ted brings a nice wine and cheese basket for his friends when he goes to their housewarming A: <class>1</class> <text>It is okay</text>,272.06,{},3,0|1|4,0|3,,
Choose the most likely event descriptions.,"Given an image, choose the most likely descriptions for the event","image, deduction, object indications",5,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000000027.jpg,"Is not wanting to climb into a really hot car a bad behavior, when karl resolved to get a sunshade for his car? A: <class>0</class> <text>It's understandable</text>",is being angry when you see someone's dog in their car on a hot summer day ethical? A: <class>0</class> <text>It's understandable</text>,artie uses his own vehicle for the weekend because he likes to keep the company car in pristine condition A: <class>1</class> <text>It's good</text>,Is having your pet properly secured while riding in a car ok from a moral perspective? A: <class>1</class> <text>It's good</text>,has your pet properly secured while riding in a car A: <class>1</class> <text>It's good</text>,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000000057.jpg,"when when he finished his first set, he got a standing ovation, excelling at sports A: <class>1</class> <text>It is good</text>","practice a sport to become successful at a young age, given by the time he was 18 he joined his first tournament. A: <class>1</class> <text>It's good</text>","is Stanley spending a lot more time with the more talented child and paying more more lessons for them wrong, in the context that Stanley has 2 children who are interested in getting better at tennis, but one is clearly more talented than the other, and Stanley wants to maximize his kids' ability? A: <class>-1</class> <text>It is wrong</text>",Is I took a steroid before my tennis match an ok behavior? A: <class>-1</class> <text>it is not good</text>,"Focuses on things, in the context of he approached the ball and set his sights on it A: <class>0</class> <text>it's good</text>",https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000000063.jpg,Robert remains silent and displays his athletic prowess by trying hard during the kickball game A: <class>1</class> <text>it is okay</text>,"is getting out and exercising with kids good from an ethical perspective, given ken was playing football with his son? A: <class>0</class> <text>It's good</text>","Is Robert remaining silent and displaying his athletic prowess by trying hard during the kickball game an okay behavior, given that Robert is on the playground at recess and his two of his classmates are picking teams for a kickball match, and Robert wants the other kids to know how talented and athletic he is? A: <class>1</class> <text>it is fine</text>","is being physically active a wrong behavior, given barry loved to play kickball, since he was a little boy? A: <class>1</class> <text>It's good</text>",is Robert remaining silent and displaying his athletic prowess by trying hard during the kickball game okay morally A: <class>1</class> <text>It's ethical</text>,14.739,{},1|4,1|3,0|4,,
Choose the most likely event descriptions.,"Given an image, choose the most likely descriptions for the event","image, deduction, object indications",1205,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000016954.jpg,"when mendoza loved to play games on his tablet, relaxing once in a while A: <class>1</class> <text>it's good</text>","If she couldn't see anything out the window so she played with her mouse, should you pay attention to the task at hand A: <class>0</class> <text>you should</text>","betty gives Bonnie the box of tissues, and they both get their work done. A: <class>1</class> <text>it's okay</text>","If mendoza loved to play games on his tablet, do you have to waste all your time playing games? A: <class>-1</class> <text>it's wrong</text>",always looking at yourself in the mirror. A: <class>-1</class> <text>it's vain</text>,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000016967.jpg,Is I poured oil over my elderly neighbor's porch to make it slippery ok morally? A: <class>-1</class> <text>It is not acceptable</text>,"have a flashing porch light because it's annoying, when flashing porch light makes your house quick to find. A: <class>-1</class> <text>You shouldn't</text>","In the context of flashing porch light makes your house quick to find, is making your house easy for others to find bad? A: <class>1</class> <text>it's good</text>",Making your front porch look nice for others when they come by A: <class>1</class> <text>It's good</text>,"is I wiped oil off my elderly neighbor's porch, because it was slippery good? A: <class>1</class> <text>It's okay</text>",https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000017000.jpg,"Trains so you can do well during competitions, in the context of race belongs to the swift, and so do training runs A: <class>0</class> <text>It's important</text>",trains operating continuously A: <class>0</class> <text>It is expected</text>,"miss your train if you had an urgent matter to take care of, when being annoyed that my friend made us miss our train. A: <class>0</class> <text>it is ok</text>",Do you have to have a ticket when you ride trains and planes? A: <class>0</class> <text>it's expected</text>,Is not wanting to travel by train acceptable morally? A: <class>0</class> <text>It's okay</text>,91.414,{},4,3,1,,
Choose the most likely event descriptions.,"Given an image, choose the most likely descriptions for the event","image, deduction, object indications",608,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000008516.jpg,Is taking public transit morally acceptable? A: <class>0</class> <text>It's fine</text>,is using public transportation to get where they need to go morally acceptable? A: <class>0</class> <text>It's normal</text>,Is taking public transportation to work morally acceptable? A: <class>0</class> <text>it's fine</text>,help reduce carbon emissions by taking public transportation A: <class>1</class> <text>It is good</text>,is choosing to use public transportation rather than own a personal vehicle moral? A: <class>1</class> <text>It's admirable</text>,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000008523.jpg,"Used windows only for viewing, and not for entries and exits A: <class>0</class> <text>you should</text>","miss details unless someone points them out, when they were oblivious until he pointed at the window A: <class>0</class> <text>It is common</text>",Return old furniture A: <class>-1</class> <text>It's wrong</text>,"Introduce yourself to new tenants, if i met greta last year on the bench in front of our building A: <class>1</class> <text>it's good</text>",Break someone's window A: <class>-1</class> <text>You shouldn't</text>,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000008526.jpg,"respect the job that police perform for society, when officers in plainclothes want to blend into the background A: <class>1</class> <text>It's good</text>",is being worried about your loved one being a police officer acceptable? A: <class>0</class> <text>It's understandable</text>,Is respecting the job that police perform for society acceptable morally? A: <class>1</class> <text>It's good</text>,is respecting the police force ok from an ethical perspective? A: <class>0</class> <text>it's expected</text>,"In the context of whatever the case, I told a policeman what I had seen, being honest A: <class>0</class> <text>It's good</text>",16.017,{},2|4,1|3,0|1,,
Choose the most likely event descriptions.,"Given an image, choose the most likely descriptions for the event","image, deduction, object indications",2402,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000034199.jpg,"In the context of he began to feel tired so he looked for a bench, should I sit on a bench? A: <class>0</class> <text>it's normal</text>",Do you need to be willing to share space with others when using public facilities? A: <class>1</class> <text>You have to</text>,People being able to sit down where they want in a public setting A: <class>0</class> <text>it is expect</text>,"is feeling tired ok from an ethical perspective, when he began to feel tired so he looked for a bench? A: <class>0</class> <text>It's ok</text>","When he began to feel tired so he looked for a bench, is looking for where you want to go morally acceptable? A: <class>0</class> <text>It's expected</text>",https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000034217.jpg,"given elizabeth's coach kept pushing her to practice kicking, positively motivating players to keep practicing A: <class>0</class> <text>It is expected</text>","Wanting to win when you compete, given mary practiced all week in preparation for her big game A: <class>1</class> <text>it's good</text>","is playing whatever sport you'd like, regardless of your gender morally good? A: <class>0</class> <text>It's allowed</text>","playing whatever sport you'd like, regardless of your gender A: <class>0</class> <text>It's allowed</text>",do you have to be diligent about practicing when you have a game coming up? A: <class>0</class> <text>you should</text>,https://storage.googleapis.com/ai2-yj/coco_images/test2014/COCO_test2014_000000034255.jpg,Is taking pride in keeping one's community clean and litter-free morally good? A: <class>1</class> <text>it's good</text>,"is keeping your area clean, even if you live by yourself a moral behavior? A: <class>1</class> <text>It's good</text>",Do things that could hurt other's enjoyment of public places A: <class>-1</class> <text>it's not okay</text>,Is changing in a park acceptable from an ethical perspective? A: <class>-1</class> <text>it is weird</text>,Is keeping personal places clean good from an ethical perspective? A: <class>0</class> <text>It is expected</text>,25.712,{},3,2,1,,
