Title,Description,Keywords,Input.concept_1,Input.premise_1,Input.hypothesis_1,Input.concept_2,Input.premise_2,Input.hypothesis_2,Input.concept_3,Input.premise_3,Input.hypothesis_3,Input.concept_4,Input.premise_4,Input.hypothesis_4,Input.concept_5,Input.premise_5,Input.hypothesis_5,Answer.concept_1,Answer.concept_2,Answer.concept_3,Answer.concept_4,Answer.concept_5,Answer.ee,Answer.feedback,Answer.q1_valid,Answer.q2_valid,Answer.q3_valid,Answer.q4_valid,Answer.q5_valid,Approve,Reject
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",water vapour,"Generally, water vapour can be used to cool a building.","Generally, water vapour should be present in the air.",tigers,"Generally, tigers may be killed for their meat.","Generally, tigers are found only in the wild.",sandwich maker,"Typically, a sandwich maker can be made.","Typically, a sandwich maker has to be able to make a sandwich from scratch every single day.",offspring,"Generally, an offspring should be able to stand on its own two feet.","Typically, an offspring is born to a mother who was already pregnant.",sailor,"Generally, a sailor can consist of any number of crewmen.","Generally, a sailor can be attached to a ship's crew.",water vapour,tigers,sandwich maker,offspring,sailor,154.323|154.323,{},1,3,3,3,1,,
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",water vapour,"Generally, water vapour can be used to cool a building.","Generally, water vapour should be present in the air.",tigers,"Generally, tigers may be killed for their meat.","Generally, tigers are found only in the wild.",sandwich maker,"Typically, a sandwich maker can be made.","Typically, a sandwich maker has to be able to make a sandwich from scratch every single day.",offspring,"Generally, an offspring should be able to stand on its own two feet.","Typically, an offspring is born to a mother who was already pregnant.",sailor,"Generally, a sailor can consist of any number of crewmen.","Generally, a sailor can be attached to a ship's crew.",water vapour,tigers,sandwich maker,offspring,sailor,30.282|30.282,{},3,3,3,3,3,,
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",water vapour,"Generally, water vapour can be used to cool a building.","Generally, water vapour should be present in the air.",tigers,"Generally, tigers may be killed for their meat.","Generally, tigers are found only in the wild.",sandwich maker,"Typically, a sandwich maker can be made.","Typically, a sandwich maker has to be able to make a sandwich from scratch every single day.",offspring,"Generally, an offspring should be able to stand on its own two feet.","Typically, an offspring is born to a mother who was already pregnant.",sailor,"Generally, a sailor can consist of any number of crewmen.","Generally, a sailor can be attached to a ship's crew.",water vapour,tigers,sandwich maker,offspring,sailor,112.063|112.063,{},2,2,3,2,1,,
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",topic,"Typically, a topic is assigned to a student's class.","Typically, topics are chosen based on their relevance.",buttercup,"Typically, a buttercup may be seen in the wild only during spring.","Typically, a buttercup can be found in the wild.",assembly line,"Generally, an assembly line can be considered to be the process by which an object is made.","Typically, an assembly line can be composed of a single machine.",kettle,"Generally, kettles can be used to boil water.","Generally, kettles have been used to heat water for centuries.",milkweed,"Typically, a milkweed has a flower.","Typically, a milkweed may be found growing on a tree, shrub, herbaceous plant, woody plant, grass, grassy shrub",topic,buttercup,assembly line,kettle,milkweed,186.889|186.889,{},2,1,3,3,1,,
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",topic,"Typically, a topic is assigned to a student's class.","Typically, topics are chosen based on their relevance.",buttercup,"Typically, a buttercup may be seen in the wild only during spring.","Typically, a buttercup can be found in the wild.",assembly line,"Generally, an assembly line can be considered to be the process by which an object is made.","Typically, an assembly line can be composed of a single machine.",kettle,"Generally, kettles can be used to boil water.","Generally, kettles have been used to heat water for centuries.",milkweed,"Typically, a milkweed has a flower.","Typically, a milkweed may be found growing on a tree, shrub, herbaceous plant, woody plant, grass, grassy shrub",topic,buttercup,assembly line,kettle,milkweed,46.088|46.088,{},2,1,2,3,2,,
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",topic,"Typically, a topic is assigned to a student's class.","Typically, topics are chosen based on their relevance.",buttercup,"Typically, a buttercup may be seen in the wild only during spring.","Typically, a buttercup can be found in the wild.",assembly line,"Generally, an assembly line can be considered to be the process by which an object is made.","Typically, an assembly line can be composed of a single machine.",kettle,"Generally, kettles can be used to boil water.","Generally, kettles have been used to heat water for centuries.",milkweed,"Typically, a milkweed has a flower.","Typically, a milkweed may be found growing on a tree, shrub, herbaceous plant, woody plant, grass, grassy shrub",topic,buttercup,assembly line,kettle,milkweed,85.922|85.922,{},3,1,2,1,2,,
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",baseball player,"Generally, a baseball player should be able to hit a curveball.","Generally, a baseball player has to hit.",melatonin,"Typically, melatonin may be used in combination with other drugs to treat insomnia.","Generally, melatonin may have a beneficial effect.",yeast,"Typically, yeasts have the ability to metabolize alcohol.","Typically, yeasts have the ability to reproduce.",genome,"Typically, a genome can consist of thousands of genes.","Typically, a genome can be removed from a cell.",herbivorous animal,"Generally, herbivorous animals produce milk for their young.","Generally, a herbivorous animal can eat a plant.",baseball player,melatonin,yeast,genome,herbivorous animal,29.828|29.828,{},1,1,3,3,3,,
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",baseball player,"Generally, a baseball player should be able to hit a curveball.","Generally, a baseball player has to hit.",melatonin,"Typically, melatonin may be used in combination with other drugs to treat insomnia.","Generally, melatonin may have a beneficial effect.",yeast,"Typically, yeasts have the ability to metabolize alcohol.","Typically, yeasts have the ability to reproduce.",genome,"Typically, a genome can consist of thousands of genes.","Typically, a genome can be removed from a cell.",herbivorous animal,"Generally, herbivorous animals produce milk for their young.","Generally, a herbivorous animal can eat a plant.",baseball player,melatonin,yeast,genome,herbivorous animal,54.068|54.068,{},1,1,3,3,3,,
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",baseball player,"Generally, a baseball player should be able to hit a curveball.","Generally, a baseball player has to hit.",melatonin,"Typically, melatonin may be used in combination with other drugs to treat insomnia.","Generally, melatonin may have a beneficial effect.",yeast,"Typically, yeasts have the ability to metabolize alcohol.","Typically, yeasts have the ability to reproduce.",genome,"Typically, a genome can consist of thousands of genes.","Typically, a genome can be removed from a cell.",herbivorous animal,"Generally, herbivorous animals produce milk for their young.","Generally, a herbivorous animal can eat a plant.",baseball player,melatonin,yeast,genome,herbivorous animal,33.341|33.341,{},1,3,2,3,2,,
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",locker room,"Generally, locker rooms are segregated by gender.","Generally, locker rooms are meant to be a place where people come together.",playroom,"Generally, playrooms have been built.","Generally, a playroom is a large room.",mountain,"Generally, a mountain can be considered to be a large hill.","Generally, a mountain can only be reached by climbing it.",baritone,"Generally, a baritone can be considered to be a male voice.","Typically, a baritone has a higher pitch range.",cerebral palsy,Cerebral palsy can be a debilitating condition.,Cerebral palsy may be caused by damage to the cerebellum.,locker room,playroom,mountain,baritone,cerebral palsy,6.432|6.432,{},1,1,1,1,1,,
