Title,Description,Keywords,img_id,question,answer,rationale,img_fn,metadata_fn,model_name,NOUN1,NOUN2,NOUN3,NOUN4,NOUN5,NOUN6,NOUN7,NOUN8,NOUN9,NOUNPHRASE1,NOUNPHRASE2,NOUNPHRASE3,NOUNPHRASE4,NOUNPHRASE5,VERB1,VERB2,VERB3,VERB4,VERB5,VERB6,Answer.c0,Answer.c1,Answer.c2,Answer.c3,Answer.c4,Answer.c5,Answer.c6,Answer.commentbox,Answer.q1,Answer.q2,Answer.q21,Answer.q22,Answer.q23,Answer.q24,Answer.q25,Answer.q3,Approve,Reject
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000460183,Why is there a knife in the picture?,to cut cake,A man is cutting into a cake with a knife.,COCO_val2014_000000460183.jpg,-,vqa_textual_viscomet_q_a_to_r,cake,man,knife,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000460183,Why is there a knife in the picture?,to cut cake,A man is cutting into a cake with a knife.,COCO_val2014_000000460183.jpg,-,vqa_textual_viscomet_q_a_to_r,cake,man,knife,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000460183,Why is there a knife in the picture?,to cut cake,A man is cutting into a cake with a knife.,COCO_val2014_000000460183.jpg,-,vqa_textual_viscomet_q_a_to_r,cake,man,knife,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000363887,Is one truck blocking the other?,no,A truck is parked on the side of the road.,COCO_val2014_000000363887.jpg,-,vqa_embeddings_viscomet_q_a_to_r,truck,road,side,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,w_yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000363887,Is one truck blocking the other?,no,A truck is parked on the side of the road.,COCO_val2014_000000363887.jpg,-,vqa_embeddings_viscomet_q_a_to_r,truck,road,side,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w_no,w_no,yes,w_no,road|side,-,-,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000363887,Is one truck blocking the other?,no,A truck is parked on the side of the road.,COCO_val2014_000000363887.jpg,-,vqa_embeddings_viscomet_q_a_to_r,truck,road,side,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,no,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000371364,How many people are there?,3,Three people are sitting on a bench in a park.,COCO_val2014_000000371364.jpg,-,vqa_embeddings_viscomet_q_a_to_r,bench,park,people,-,-,-,-,-,-,three people,-,-,-,-,-,-,-,-,-,-,yes,no,yes,yes,bench|park,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000371364,How many people are there?,3,Three people are sitting on a bench in a park.,COCO_val2014_000000371364.jpg,-,vqa_embeddings_viscomet_q_a_to_r,bench,park,people,-,-,-,-,-,-,three people,-,-,-,-,-,-,-,-,-,-,yes,no,yes,yes,bench|park,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000371364,How many people are there?,3,Three people are sitting on a bench in a park.,COCO_val2014_000000371364.jpg,-,vqa_embeddings_viscomet_q_a_to_r,bench,park,people,-,-,-,-,-,-,three people,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,w_yes,bench|park,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000460567,Why are the animals here?,water,A herd of elephants are in the water.,COCO_val2014_000000460567.jpg,-,vqa_textual_viscomet_q_a_to_r,herd,elephants,water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,w_yes,yes,w_no,elephants,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000460567,Why are the animals here?,water,A herd of elephants are in the water.,COCO_val2014_000000460567.jpg,-,vqa_textual_viscomet_q_a_to_r,herd,elephants,water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w_yes,w_yes,yes,yes,elephants,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000460567,Why are the animals here?,water,A herd of elephants are in the water.,COCO_val2014_000000460567.jpg,-,vqa_textual_viscomet_q_a_to_r,herd,elephants,water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,w_yes,yes,yes,elephants,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes,,
